fossil_times,genetic_distances,species_pair,notes,notes
92,2.5466,Cheetah-Cairo Mouse,Divergence from TimeTree.org; p-distance from MEGA= strong calibration,Divergence from TimeTree.org; p-distance from MEGA= strong calibration
26.9,2.8279,"Mullah spiny mouse-Colombian grass mouse
",,
87,2.4931,Jura Red Howler Monkey-Japanese grass vole,,
26.9,2.3685,Greater bandicoot rat-Japanese grass vole,,
94,2.6088,Puma-Japanese grass vole,,
94,3.0995, Amazon dwarf squirrel-Asiatic black bear,,
81,2.6762,Azagny's fruit bat-Asiatic black bear,,
71,2.6078,South Americna tapir-Asiatic black bear,,
76,2.8018,Lowland Anoa-Asiatic black bear,,
76,2.624,American Bison-Asiatic black bear,,
76,2.6318,American Pronghorn-Asiatic black bear,,
76,2.8627,Fin Whale-Asiatic black bear,,
81,2.7416,Spotted-winged fruit bat,,
99,2.6055,Red river hog-Chacoan pygmy armadillo,,
99,2.7944,Siberian roe deer-Chacoan pygmy armadillo,,
99,2.5117,Long-beaked common dolphin-Chacoan pygmy armadillo,,
99,2.4737,Western lowland gorrilla-Chacoan pygmy armadillo,,
94,2.4733,Western lowland gorrilla-Long-beaked common dolphin,,
94,2.6701,Western lowland gorrilla-California sea lion,,
94,2.6469,Western lowland gorrilla-ocelot,,
94,2.6701,Cheetah-Western lowland gorrilla,,
94,2.9469,Cheetah-Moholi bushbaby,,
74,2.6701,Western lowland gorrilla-Moholi bushbaby,,
94,2.8775,Cheetah-Hoolock gibbon,,
76,2.7725,Cheetah-Hippopotamus,,
94,1.6694,Hippopotamus-Hoolock gibbon,,
94,2.6774,Human-Hippopoatumus,,
94,2.4218,Human-Cheetah,,
94,2.5315,Human-Hartebeest,,
94,2.9122,Human-Long-beaked common dolphin,,
43,2.5865,Human-Red-handed howler monkey,,
28.8,2.514,Human-L 'Hoest's monkey,,
43,2.6379,Human-Jura Red Howler Monkey,,
87,2.4921,Human-Pel's scaly-tailed squirrel,,
87,2.7377,Human-Cairo spiny mouse,,
160,2.6166,Human-striped possum,,
8.6,2.7548,Neanderthal-Western lowland gorrilla,,
94,2.416,Neanderthal-North Atlantic right whale,,
19.5,2.6845,Neanderthal-Hoolock gibon,,
94,2.8775,Neanderthal-Amur leopard cat,,
94,3.1612,Neanderthal-Asiatic black bear,,
94,2.3672,Neanderthal-California sea lion,,
94,2.3995,Neanderthal-American bison,,
94,2.8796,Neanderthal-domestic cattle,,
86,2.7392,Cheetah-Long-tailed brown-toothed shrew,,
76,2.6285,Cheetah-Taruca,,
